annotator_id,text_ids
0,"[542560831, 331265350, 220187555, 454098866, 213154518, 608657769, 294934681, 461183090, 70857212, 204454284, 306131357, 43097157, 105912594, 289231713, 215782043, 218146103, 535981426, 83940839, 159789505, 381666842]"
1,"[38601066, 354115354, 458634240, 533417386, 128105907, 46617651, 178575666, 269817053, 157796251, 177154518, 616127727, 525945182, 217341692, 672308949, 133230955, 592751530, 31334180, 157401421, 108491663, 632810217]"
2,"[279444172, 564495785, 359343393, 461237705, 166557601, 221218501, 557124804, 189358880, 125430205, 312199226, 604254739, 206593203, 168712065, 288589168, 3368922, 445089218, 169767493, 9135653, 298048438, 68783114]"
3,"[498172954, 482429851, 404778399, 217513831, 281103354, 42900030, 267080001, 575480219, 476559201, 338447132, 681966818, 144090855, 76551933, 103495767, 426965548, 677426813, 561606822, 611561688, 666488421, 286959066]"
4,"[340018172, 226642141, 172952555, 562822999, 210146396, 680945306, 38562862, 358846983, 196843728, 271003047, 113835214, 356320051, 328883041, 128094440, 154597718, 675931371, 669807625, 173128097, 158941212, 122792874]"
5,"[668612876, 423734652, 243876086, 373617216, 271353080, 488704108, 263793876, 601736302, 30950466, 331018231, 463582007, 697054619, 266974294, 611568991, 393702101, 223459250, 456746646, 413048066, 34180855, 666924589]"
6,"[323632698, 457070438, 648033075, 335162904, 316961979, 138766436, 664680055, 323447210, 473273409, 407162190, 60282727, 331379812, 363607948, 64960437, 297465663, 180584466, 148658671, 471675541, 628118202, 673820436]"
7,"[165404287, 382328891, 301863873, 457223479, 331080650, 48515570, 570217503, 138448278, 394653391, 562779518, 58932037, 175521018, 165482120, 68576664, 163982223, 648026476, 165233460, 69808341, 486340460, 447260829]"
8,"[213566362, 192750778, 249313708, 15660772, 60974436, 458817051, 230849405, 258291658, 331265350, 20076289, 130494317, 570489161, 281767834, 111438386, 117034610, 204370502, 464875367, 187979191, 331689882, 470621978]"
9,"[426121734, 103292073, 58606731, 406217981, 83386623, 86931380, 329530679, 572489665, 74337234, 87315017, 34581113, 22268782, 84945846, 82943097, 689283514, 203407066, 64181555, 33731644, 537886939, 199461844]"
10,"[104509628, 251176115, 407614284, 138931577, 33719194, 319145263, 31333061, 223970395, 10491092, 35309585, 536911755, 547735745, 328383032, 686307279, 183805513, 474403137, 73627222, 527078821, 295601303, 630371730]"
11,"[484588347, 650712652, 68766793, 227579532, 18702802, 63392372, 191766718, 50151974, 128154548, 146358196, 206112761, 625937723, 295493821, 446516422, 521078286, 603576057, 2279790, 50043446, 183964254, 628749164]"
12,"[610564164, 70865406, 183431348, 636481487, 116522141, 260310378, 135849657, 9806816, 111658563, 254442307, 109556829, 116737967, 176773181, 650237379, 62046082, 678112162, 185369176, 38857530, 580962267, 513301849]"
13,"[520619380, 584706371, 47476701, 612550409, 527438318, 76941480, 292304795, 615254355, 308943117, 201160035, 173551104, 275950747, 566477319, 465215950, 370172066, 110627189, 176163383, 157519342, 49981567, 308210474]"
14,"[40555383, 221505406, 611376239, 535997181, 300645669, 206610590, 501841498, 338818642, 40776600, 469276882, 97387221, 246463944, 163893966, 645250270, 550002903, 165466265, 177772476, 123276548, 102407386, 353659221]"
15,"[399865156, 276359470, 264933098, 208365258, 523782236, 697255659, 82241305, 684958939, 183950233, 21731718, 632355888, 417144861, 96017493, 215798067, 94766529, 67997986, 114422379, 81858030, 425494975, 272143359]"
16,"[435219799, 585354278, 392816878, 120270134, 355676273, 142334339, 64474954, 611754642, 599237827, 560366988, 33376768, 170626045, 129617050, 116490818, 113909469, 333738536, 439214070, 453424686, 221646727, 409816864]"
17,"[176387517, 603458462, 20092141, 173030206, 290598, 37306047, 98242786, 595455177, 221213831, 372175695, 456798326, 539065751, 219685679, 520619380, 275521199, 338304252, 278464355, 290815271, 518035672, 36281929]"
18,"[43464963, 321461797, 319470068, 91621440, 67199784, 65911727, 241234200, 140193955, 37083780, 639116267, 526967676, 529508170, 236527723, 663569674, 50249729, 283678263, 118451472, 240722271, 401689555, 354929272]"
19,"[441521742, 468227784, 612934624, 55298572, 194978797, 592751530, 660002960, 400671571, 285933872, 180214326, 37241529, 574949073, 308020851, 62488829, 420302561, 65911727, 186890992, 303816484, 643154338, 612449863]"
20,"[390657843, 287189869, 50050420, 622919034, 128357599, 333971306, 534025871, 397933677, 253971789, 595034590, 523776151, 624577915, 541961619, 236359561, 292718195, 379417011, 279542863, 55828257, 476549094, 101223767]"
21,"[56345642, 330964724, 328152032, 415428627, 222471079, 665752140, 46316761, 330296909, 247707962, 674056134, 147512346, 614390667, 287439531, 162371024, 57755192, 43641861, 405952670, 514774654, 114568347, 259032968]"
22,"[110131726, 165019154, 168825145, 580846862, 580977936, 41331746, 361720573, 57638346, 39648341, 403789293, 192417172, 124969399, 46127501, 121807481, 462893222, 88334878, 677927598, 293669140, 119975761, 613607262]"
23,"[260125949, 40836966, 465012925, 260130789, 165482120, 607379338, 200120900, 580846862, 183583383, 592283701, 320892785, 37370341, 213996547, 699565779, 662569310, 527595083, 93432481, 226893198, 485036417, 680250229]"
24,"[455155867, 351887198, 48762053, 317394657, 157401421, 305920657, 183760948, 297831157, 563234467, 146944296, 217225690, 128357599, 542141136, 263939719, 316537227, 379545211, 478700335, 300331870, 235981176, 372029115]"
25,"[121526978, 513010239, 312219882, 526868246, 689283514, 401634336, 629520129, 237260089, 640999355, 314130230, 370117988, 313735252, 171037705, 209499406, 164457460, 582087223, 228540666, 367722446, 391700769, 123834892]"
26,"[172167935, 57780434, 87167188, 461205939, 590528859, 13692707, 421389769, 671836642, 475826896, 219755836, 579099305, 675981655, 165844835, 436084480, 446654866, 40680971, 202952058, 232319814, 411742313, 611754642]"
27,"[275194962, 559213354, 560366988, 357319194, 293946344, 321774305, 139655287, 197508132, 357895963, 83611902, 382926395, 225265539, 85208064, 233235602, 83126102, 381755255, 74344838, 535227563, 352040953, 465906703]"
28,"[81732541, 218838953, 142771286, 348050125, 203244495, 492569317, 339968712, 49289378, 596228661, 607850340, 119403722, 531468016, 203666761, 443012405, 652777399, 568696095, 406295822, 158854889, 353734910, 296902834]"
29,"[436180604, 145548531, 60820896, 325203588, 279093546, 641913770, 1250844, 661524538, 117835667, 66248977, 95412691, 63350663, 678959469, 29084316, 124073028, 22667630, 484264095, 441044459, 692509487, 604807950]"
