annotator_id,text_ids
worker_0,"['CHRG-115hhrg30956_027', 'CHRG-113hhrg89598_205', 'CHRG-114hhrg22125_032', 'CHRG-115hhrg30242_099', 'CHRG-115hhrg31504_007', 'CHRG-115hhrg30242_040', 'CHRG-114hhrg97630_098', 'CHRG-115hhrg31349_101', 'CHRG-113hhrg86195_165', 'CHRG-113hhrg89598_095', 'CHRG-116hhrg35230_123', 'CHRG-114hhrg26003_117', 'CHRG-115hhrg30956_098', 'CHRG-113hhrg86195_024', 'CHRG-115hhrg30242_125', 'CHRG-116hhrg36001_038', 'CHRG-115hhrg25545_077', 'CHRG-113hhrg86195_084', 'CHRG-115hhrg31417_067', 'CHRG-115hhrg31504_000']"
worker_1,"['CHRG-113hhrg93834_105', 'CHRG-116hhrg35230_018', 'CHRG-113hhrg88494_060', 'CHRG-113hhrg88494_094', 'CHRG-115hhrg31504_119', 'CHRG-115hhrg31504_100', 'CHRG-115hhrg30956_087', 'CHRG-115hhrg31349_082', 'CHRG-113hhrg88494_100', 'CHRG-113hhrg88494_039', 'CHRG-116hhrg37282_061', 'CHRG-115hhrg30956_096', 'CHRG-113hhrg93834_132', 'CHRG-116hhrg35230_051', 'CHRG-113hhrg93834_071', 'CHRG-116hhrg36001_163', 'CHRG-116hhrg36001_167', 'CHRG-115hhrg32380_053', 'CHRG-114hhrg95063_017', 'CHRG-115hhrg25545_015']"
worker_10,"['CHRG-115hhrg31349_000', 'CHRG-115hhrg31349_002', 'CHRG-115hhrg31349_006', 'CHRG-115hhrg31349_008', 'CHRG-115hhrg31349_004']"
worker_11,"['CHRG-116hhrg36001_006', 'CHRG-116hhrg36001_008', 'CHRG-116hhrg36001_000', 'CHRG-116hhrg36001_010', 'CHRG-116hhrg36001_004']"
worker_12,"['CHRG-115hhrg31417_020', 'CHRG-115hhrg31417_024', 'CHRG-115hhrg31417_014', 'CHRG-115hhrg31417_022']"
worker_13,"['CHRG-114hhrg95063_001', 'CHRG-114hhrg95063_005', 'CHRG-114hhrg95063_007', 'CHRG-114hhrg95063_009', 'CHRG-113hhrg89598_000', 'CHRG-113hhrg89598_006', 'CHRG-113hhrg89598_002', 'CHRG-113hhrg89598_008']"
worker_14,"['CHRG-114hhrg95063_009', 'CHRG-113hhrg86195_014', 'CHRG-113hhrg88494_008', 'CHRG-114hhrg26003_004', 'CHRG-114hhrg26003_010', 'CHRG-113hhrg86195_008', 'CHRG-115hhrg30956_016', 'CHRG-114hhrg95063_001', 'CHRG-114hhrg26003_008', 'CHRG-114hhrg26003_014', 'CHRG-115hhrg30956_012', 'CHRG-114hhrg26003_012', 'CHRG-114hhrg95063_005', 'CHRG-113hhrg88494_000', 'CHRG-113hhrg86195_000', 'CHRG-114hhrg26003_000', 'CHRG-114hhrg26003_006', 'CHRG-115hhrg30956_023', 'CHRG-114hhrg26003_016', 'CHRG-113hhrg88494_006']"
worker_15,"['CHRG-115hhrg25545_191', 'CHRG-115hhrg25545_203', 'CHRG-113hhrg89598_000', 'CHRG-116hhrg37282_016', 'CHRG-113hhrg89598_002', 'CHRG-116hhrg37282_012', 'CHRG-113hhrg89598_004', 'CHRG-116hhrg37282_014', 'CHRG-115hhrg25545_187', 'CHRG-113hhrg89598_006', 'CHRG-113hhrg89598_008', 'CHRG-116hhrg37282_010']"
worker_16,"['CHRG-113hhrg89598_016', 'CHRG-114hhrg26003_002', 'CHRG-114hhrg26003_004', 'CHRG-114hhrg26003_000', 'CHRG-115hhrg31349_010', 'CHRG-115hhrg30956_134', 'CHRG-115hhrg31349_014', 'CHRG-115hhrg30956_141', 'CHRG-115hhrg31349_006', 'CHRG-115hhrg30956_137', 'CHRG-115hhrg31349_000', 'CHRG-115hhrg31349_008', 'CHRG-114hhrg26003_008', 'CHRG-115hhrg30956_129', 'CHRG-113hhrg89598_012', 'CHRG-115hhrg31349_002', 'CHRG-114hhrg26003_006', 'CHRG-115hhrg31349_021', 'CHRG-113hhrg89598_018', 'CHRG-115hhrg31349_019']"
worker_17,"['CHRG-115hhrg31417_073', 'CHRG-115hhrg31417_067', 'CHRG-115hhrg31417_069']"
worker_18,"['CHRG-114hhrg26003_008', 'CHRG-114hhrg26003_006', 'CHRG-114hhrg26003_004', 'CHRG-114hhrg26003_000', 'CHRG-114hhrg26003_002']"
worker_19,"['CHRG-115hhrg31417_028', 'CHRG-115hhrg31417_026', 'CHRG-115hhrg31417_030', 'CHRG-115hhrg31417_034', 'CHRG-115hhrg31417_032']"
worker_2,"['CHRG-115hhrg25545_053', 'CHRG-115hhrg25545_059', 'CHRG-115hhrg25545_051', 'CHRG-114hhrg95063_007', 'CHRG-114hhrg95063_009', 'CHRG-114hhrg95063_001', 'CHRG-115hhrg25545_065', 'CHRG-115hhrg25545_055', 'CHRG-114hhrg95063_005', 'CHRG-114hhrg95063_003']"
worker_20,"['CHRG-114hhrg26003_087', 'CHRG-113hhrg86195_070', 'CHRG-114hhrg95063_095', 'CHRG-116hhrg36001_075', 'CHRG-115hhrg32380_012', 'CHRG-113hhrg89598_189', 'CHRG-114hhrg20722_016', 'CHRG-115hhrg31349_088', 'CHRG-115hhrg31349_073', 'CHRG-115hhrg31349_109', 'CHRG-114hhrg26003_091', 'CHRG-116hhrg35230_018', 'CHRG-115hhrg31504_136', 'CHRG-116hhrg36001_030', 'CHRG-115hhrg31417_151', 'CHRG-115hhrg32380_138', 'CHRG-115hhrg31504_130', 'CHRG-116hhrg35230_020', 'CHRG-116hhrg37282_112', 'CHRG-113hhrg93834_097']"
