annotator_id,text_ids
5814726,"[2046134492, 2046134536, 2046134325, 2046134690, 2046134833, 2046134605, 2046134740, 2046134500, 2046134841, 2046134519, 2046134660, 2046134438, 2046134530, 2046134761, 2046134787, 2046134649, 2046134478, 2046134451, 2046134585, 2046134407]"
6338946,"[2046134564, 2046134660, 2046134530, 2046134612, 2046134805, 2046134770, 2046134523, 2046134702, 2046134784, 2046134325, 2046134528, 2046134595, 2046134804, 2046134493, 2046134572, 2046134436, 2046134730, 2046134816, 2046134618, 2046134514]"
6377879,"[1739471905, 1739446808, 2164632160, 1739444194, 1739450093, 1739441886, 2254074746, 1739466323, 1739460981, 1739452618, 1739443686, 1739440430, 1739456490, 1739459284, 1739467511, 1739455920, 1739458781, 2046134333, 2164631645, 1739443114]"
6409472,"[2046134804, 2046134687, 2046134415, 2046134610, 2046134543, 2046134572, 2046134478, 2046134625, 2046134685, 2046134499, 2046134480, 2046134592, 2046134664, 2046134712, 2046134603, 2046134651, 2046134583, 2046134472, 2046134538, 2046134635]"
6713206,"[2046134325, 2046134451, 2046134804, 2046134458, 2046134462, 2046134478, 2046134500]"
10390268,"[1739442668, 1739442373, 1739442241, 1746210506, 1739441961, 1739442319, 1739441756, 1739461054, 1739441897, 1739442339, 1747073155, 1739460040, 1739442486, 1739442942, 1739469168, 1739468264, 1739440424, 1739442055, 1739443453, 1739440449]"
13581319,"[2046134631, 2046134442, 2327215067, 2327214800, 2327177717, 2164631921, 2327177159, 2327176812, 2327178894, 2046134428, 2164631971, 2164631980, 2327208811, 2046134407, 2164631889, 2327215028, 2254074924, 2327178100, 2164631942, 2046134355]"
13842059,"[1739442021, 1739441970, 1739446624, 1739443370, 1739464527, 1739441280, 1739459593, 1739440965, 1739441393, 1739443188, 1739442573, 1739442701, 1739454167, 1746210520, 1739457426, 1739442121, 1739451874, 1739442655, 1739442535, 1740356705]"
14070474,"[2046134832, 2046134798, 2046134598, 2046134514, 2046134458, 2046134722, 2046134451, 2046134462, 2046134688, 2046134523, 2046134787, 2046134500, 2046134415, 2046134720]"
14408644,"[1739440423, 1739443145, 1739443633, 1739442324, 1739442745, 1739442050, 1739443407, 1739440447, 1739442222, 1740356692, 1739443112, 1739440419, 1739440444, 1739443160, 1739440446, 1740356722, 1739440441, 1739442820, 1739442182, 1739442434]"
14475688,"[1739448928, 1739470553, 1739465393, 1739464461, 1739466018, 1739462465, 1740356695, 1739447617, 1739464094, 1739469369, 1739456679, 1739446483, 1739459362, 1739459310, 1739467881, 1739464207, 1739440426, 1739472086, 1739460945, 1739472130]"
14723284,"[2297540044, 2297539882, 2297540617, 2164631995, 2297540375, 2297540589, 2297540667, 2254074195, 2297540305, 2254074154, 2164631828, 2297540092, 2297540514, 2297540041, 2297540747, 2297540420, 2297540100, 2297540681, 2254075107, 2254074490]"
15298546,"[2046134735, 2254074410, 2046134665, 2046134377, 2046134624, 2046134458, 2046134450, 2031090915, 2046134841, 2046134568, 2254075090, 2046134444, 2046134517, 2046134514, 2046134548, 2046134839, 2254074874, 2046134438, 2046134823, 2046134470]"
15577915,"[2046134537, 2046134478, 2046134649, 2046134377, 2046134804, 2046134523, 2046134462]"
17008499,"[1739458199, 1739449813, 1739465897, 1739449826, 1739462504, 1739452871, 1739471506, 1739446240, 1739451382, 1739445488, 1739445610, 1739466889, 1739470182, 1739462514, 1739463293, 1739448060, 1739446973, 1739447789, 1739461284, 1739446674]"
17739044,"[1739471043, 1739456471, 1739469543, 1739450478, 1739455753, 1739468208, 1739440427, 1739453820, 1739445953, 1740356707, 1739443999, 1739452291, 1739464703, 1746210514, 1739446149, 1739460027, 1740356733, 1748704998, 1739461416, 1739461647]"
18045742,"[2046134615, 2046134474, 2046134415, 2046134837, 2046134808, 2046134325, 2046134773, 2046134695, 2046134497, 2046134787, 2046134654, 2046134613, 2046134766, 2046134440, 2046134827, 2046134480, 2046134526, 2046134582, 2046134816, 2046134639]"
18668290,"[2319155715, 2327198206, 2319157526, 2327196029, 2327196314, 2327197362, 2319155675, 2319157174, 2327196005, 2319156943, 2319155889, 2319157303, 2319156608, 2327195655, 2327197430, 2319156780, 2319157771, 2319156226, 2327197066, 2319155835]"
18960682,"[2164631623, 1739458554, 1739463024, 1739459058, 2327176379, 1739448461, 1739440446, 2327177367, 2046134400, 1739450224, 2327176493, 2327176446, 1739451534, 2164631883, 1739460511, 1739457024, 2327176482, 1739440417, 2164631695, 1739455799]"
19294877,"[1739469528, 1739446223, 1739453837, 1739451976, 1739445358, 1739466500, 1739440415, 1739446385, 1739469581, 1739465445, 1739444300, 1739458224, 1739469061, 1746248839, 1746957939, 1739450553, 1739445187, 1739468035, 1739445446, 1739460018]"
19302668,"[1739440438, 1739453389, 1739470606, 1739465996, 1739451207, 1739471013, 1740356721, 1740356701, 1740356724, 1739464786, 1739469493, 1739440427, 1739464470, 1739463105, 1739455258, 1739460185, 1740356708, 1739464750, 1739454386, 1739444605]"
19425875,"[1739460783, 1740356714, 2327179326, 2327178623, 1739465931, 2327178414, 1739454196, 1739449393, 1739459009, 2327176481, 1739469065, 1739466098, 2327177028, 2327176866, 1739468961, 1739448419, 2327177229, 1739444769, 1739454184, 1739460659]"
19638651,"[1739472480, 2327178873, 2327212781, 2327211669, 1739471713, 2327205865, 1739458810, 2327198200, 1739447887, 2327214045, 1739459546, 1739447371, 2327206281, 1739444080, 1739466634, 2327204800, 2327198012, 2327198191, 1739469136, 1739466936]"
20109169,"[1740356726, 1740356724, 1739441452, 1739440437, 1740356722, 1739441536, 1740356710, 1739440426, 1740356718, 1739441219, 1739441419, 1740356710, 1740356713, 1740356702, 1739440443, 1739441665, 1740356715, 1740356703, 1740356705, 1740356722]"
20225558,"[2046134411, 1739444207, 1739454633, 2254074734, 1812102852, 2254074150, 1739462330, 2164631592, 1800633068, 1800633100, 1739457273, 2327176467, 2327203908, 2164631941, 1812103231, 2164631697, 2327214747, 1800632770, 2254075071, 2327176281]"
20512953,"[2164631940, 2319155879, 2327196491, 2327196414, 2327198276, 2327206320, 2254074792, 1800629130, 1739459992, 2319157812, 1739454320, 2254074605, 1739470962, 2164631769, 2254074264, 1739466795, 1739466249, 2327205825, 1739443207, 2046134471]"
21088425,"[2254074757, 2254074146, 2327195203, 2327176446, 2327197514, 2327176297, 2327195226, 2327176338, 2327196358, 2327176488, 2327176435, 2327195413, 1812168675, 2327176368, 1800629025, 2327195442, 1812167856, 1812167157, 2327176481, 2254074749]"
21269635,"[1739445867, 1740356695, 1739465149, 1739449299, 1739459522, 1739452436, 1739457563, 1739462398, 1739471156, 1739451147, 1739469295, 1739461675, 1739463496, 1739466622, 1739460049, 1739451197, 1739445598, 1739466701, 1739471834, 1739463859]"
21436206,"[2327176617, 2327179331, 2327177623, 2327179106, 2327178454, 2327177696, 2327177631, 2031090969, 2327178358, 2327176883, 2327177114, 2327177814, 2327176658, 2327176562, 2327177717, 2327177098, 2327176834, 2327177136, 2327178616, 2327176865]"
21459945,"[1740356708, 1739445237, 1739442524, 1739443098, 1739442996, 1739460268, 1739465682, 1739463063, 1739440415, 1739443525, 1746210508, 1739444921, 1739456485, 1739443628, 1739450789, 1739462755, 1739461987, 1739466041, 1739443238, 1739465995]"
21785776,"[2327178097, 2327195337, 2327176379, 2046134811, 2254074335, 2327177438, 1739446561, 2031090945, 2254074448, 2046134707, 1739453580, 1739450347, 2327195267, 1739447337, 2327195170, 1739460783, 1739450004, 2327195583, 2046134637, 1739443866]"
22095664,"[2164631775, 2164631591, 2164631583, 2164631620, 2164631608, 2164631614, 2164631995, 2164631556, 2164631783, 2164631570, 2164631767, 2164631566, 2164631590, 2046134325, 2164631629, 2164631544, 2164631575, 2164631598, 2164632039, 2164631883]"
22345789,"[2046134649, 2046134600, 2046134672, 2046134803, 2046134549, 2046134509, 2046134548, 2046134525, 2046134720, 2046134582, 2046134557, 2046134687, 2046134808, 2046134682, 2046134698, 2046134458, 2046134537, 2046134817, 2046134729, 2046134532]"
22431902,"[1812168546, 1812103142, 1739440862, 1812103128, 1812168162, 1739460431, 2046134442, 1812103081, 1739441598, 1739441557, 1739440814, 1739444810, 1739443601, 1739459590, 1739441423, 1812103079, 1812167062, 1739462225, 1812167745, 1739471493]"
23144069,"[1739459785, 1739440413, 1739464272, 1739464769, 1739459178, 1739465101, 1739447567, 1739451441, 1739453351, 1739456624, 1739464615, 1739465455, 1739447007, 1739450259, 1739458459, 1739451011, 1739459708, 1739452177, 1739444051, 1739456548]"
23510133,"[2327179025, 2327178620, 2327177567, 2327178359, 2327176389, 2327179176, 2327177500, 2327178001, 2327178258, 2327178824, 2327177899, 2327177274, 2327177537, 2327177367, 2327177688, 2327177354, 2327177014, 2327178651, 2327178480, 2327176574]"
23583649,"[2046134523, 2046134325, 2046134500, 2046134537, 2046134415, 2046134787, 2046134458]"
25129674,"[1739441334, 1739442356, 1739442971, 1739442391, 1739443240, 1739443245, 1739442857, 1739440927, 1739442229, 1739442562, 1740356690, 1739440413, 1739440888, 1739441323, 1739442910, 1739441139, 1739441784, 1739441874, 1740356728, 1739441702]"
25278366,"[1739446139, 1739457480, 1739456968, 1739440432, 1739448520, 1739448997, 1739456003, 1746250927, 1739449189, 1739440416, 1739460276, 1748676735, 1739449172, 1739449592, 1739467579, 1739469466, 1739464553, 1739457278, 1739448014, 1739449009]"
25408325,"[2046134703, 2046134707, 2046134699, 2046134523, 2046134478, 2046134483, 2046134728, 2046134447, 2046134325, 2046134377, 2046134787, 2046134791, 2046134486, 2046134471, 2046134537, 2046134842, 2046134746, 2046134843, 2046134500, 2046134602]"
25658839,"[2046134782, 2046134462, 2046134787, 2046134514, 2046134501, 2254074270, 2046134415, 2046134491, 2046134490, 2046134573, 2046134605, 2046134713, 2046134652, 2046134755, 2164632057, 2046134834, 2046134377, 2046134441, 2164631664, 2046134721]"
26024737,"[1739441541, 1800629071, 1740356710, 1739450749, 1739441174, 1739441658, 1739441568, 1740356698, 2319156079, 1739440875, 2327195735, 1800632888, 1746210510, 1800629035, 1739468325, 2327196421, 1812168900, 1800629092, 1739441127, 2327196432]"
26957039,"[2046134418, 2046134353, 2046134465, 2046134366, 2046134339, 2046134344, 2046134787, 2046134616, 2046134462, 2046134478, 2046134395, 2046134708, 2046134357, 2046134361, 2046134325, 2046134326, 2046134377, 2046134374, 2046134335, 2046134608]"
27504414,"[1739442610, 1739441908, 1740356702, 1739443542, 1739442235, 1740356727, 1739442857, 1740356731, 1739442426, 1739443146, 1739442369, 1740356705, 1739442789, 1739442212, 1740356691, 1739442728, 1739441747, 1739442911, 1739442559, 1740356717]"
